feature_rank,gene_name_norm,gene_name,gene_id,train_prevalence,mean_log2_tpm_train,variance_log2_tpm_train
553,COL9A2,COL9A2,ENSG00000049089,1.0,3.8492061293989637,2.353032099492171
554,OR2I1P,OR2I1P,ENSG00000237988,1.0,2.9805586705359284,2.3507252229115605
555,MUC1,MUC1,ENSG00000185499,1.0,8.723698080085809,2.3471779883048565
556,RSPH1,RSPH1,ENSG00000160188,0.9944444444444445,2.6855979314271536,2.3442982898844473
557,ALG1L,ALG1L,ENSG00000189366,0.9916666666666667,3.567299474099657,2.343360917907577
558,COL3A1,COL3A1,ENSG00000168542,1.0,9.320056692431491,2.3422616311835553
559,MAP7D2,MAP7D2,ENSG00000184368,0.9805555555555555,2.274876805428044,2.340649242946185
560,ECM1,ECM1,ENSG00000143369,1.0,5.3954662337829005,2.34061933767366
561,CMBL,CMBL,ENSG00000164237,1.0,4.621481981495904,2.34000492861338
562,CAVIN2,CAVIN2,ENSG00000168497,1.0,4.913590673182047,2.336175322251871
563,CLEC3B,CLEC3B,ENSG00000163815,1.0,3.4738497446811065,2.335199412306144
564,HLF,HLF,ENSG00000108924,0.9944444444444445,2.8187807038112647,2.33450345749986
565,PDK4,PDK4,ENSG00000004799,1.0,4.57848182839455,2.3298322336423936
566,PON3,PON3,ENSG00000105852,0.9972222222222222,4.6832319701552,2.329022790894453
567,TUBA4B,TUBA4B,ENSG00000243910,0.8888888888888888,1.6363262057520616,2.3287124174423743
568,DHRS9,DHRS9,ENSG00000073737,1.0,2.6686396461557766,2.3286520173878467
569,G0S2,G0S2,ENSG00000123689,1.0,5.8935433898253775,2.3259513315020577
570,BMP6,BMP6,ENSG00000153162,1.0,2.6556094240309562,2.315086591813362
571,OLR1,OLR1,ENSG00000173391,1.0,4.763845114856748,2.313717093557054
572,CALB2,CALB2,ENSG00000172137,0.9694444444444444,1.7989632645406706,2.313701430091274
573,FAXDC2,FAXDC2,ENSG00000170271,1.0,3.9401754685811725,2.3105869457665795
574,MT1E,MT1E,ENSG00000169715,1.0,6.240938463842043,2.304937186573313
575,HMGB3,HMGB3,ENSG00000029993,1.0,7.160822184984715,2.300269267048304
576,ITGB8,ITGB8,ENSG00000105855,0.9888888888888889,2.571848085442379,2.3001702144996092
577,TRNP1,TRNP1,ENSG00000253368,1.0,4.689080770022708,2.3000921844143156
578,C9ORF152,C9orf152,ENSG00000188959,0.9972222222222222,4.274285381915622,2.2999981422955957
579,VSIG4,VSIG4,ENSG00000155659,1.0,5.648382350534577,2.2884698104095493
580,S100B,S100B,ENSG00000160307,0.9972222222222222,3.524731182959334,2.287727257879292
581,RSPH4A,RSPH4A,ENSG00000111834,0.9805555555555555,1.927679282332558,2.282877569080276
582,ECRG4,ECRG4,ENSG00000119147,0.9277777777777778,1.919200454114203,2.2828620190460907
583,CPAMD8,CPAMD8,ENSG00000160111,1.0,2.815203606288375,2.281932701072648
584,CR2,CR2,ENSG00000117322,0.9805555555555555,2.349404863405421,2.2818004456683796
585,ARHGAP40,ARHGAP40,ENSG00000124143,0.9527777777777777,3.024400778264731,2.2783220922549003
586,ELN,ELN,ENSG00000049540,1.0,5.177643822151884,2.2749325068157242
587,MAOA,MAOA,ENSG00000189221,1.0,5.811148425228274,2.2740073673668175
588,ITIH2,ITIH2,ENSG00000151655,0.9111111111111111,1.4610625566865105,2.273849909406951
589,TOX3,TOX3,ENSG00000103460,0.9555555555555556,3.289991009076974,2.272100517336674
590,CA2,CA2,ENSG00000104267,1.0,4.49859718053489,2.2716060901708275
