gene_name_norm,coefficient,model_importance,importance_type,gdc_abs_log2_fc,gdc_neg_log10_p,gdc_neg_log10_fdr,sample_prevalence_score,expression_evidence_score,network_context_score,geo_component_score,de_priority_gate,degree_gene,weighted_degree_gene,pagerank,betweenness_centrality,pca_1,pca_2,cluster_id,target_score_raw,target_penalty_reason,target_penalty_factor,target_score,target_rank,evidence_level,model_importance_rank
ADRB1,-0.010306354806281818,0.010306354806281818,absolute_coefficient,2.9045154694646462,16.0665952111302,14.972931339471778,0.6409214092140921,0.6409214092140921,0.04483591843894741,1.0,1.0,768.0,208.82200000000006,7.690701378392768e-05,9.241355777979982e-05,0.9656300866633459,3.719872156307032,3,0.5636443898614465,none,1.0,0.5636443898614465,134,exploratory,55
HSD17B13,-0.010264855780849971,0.010264855780849971,absolute_coefficient,1.8041397150079672,5.076172156503754,4.714700006733951,0.6382113821138211,0.5316259530955293,0.04447967993748458,0.2,1.0,1506.0,315.9929999999999,2.399530732119865e-05,0.0,0.7008899784421988,0.7279859352616459,3,0.38003915148734463,none,1.0,0.38003915148734463,2309,background,56
CCL11,-0.010263969890386661,0.010263969890386661,absolute_coefficient,0.37540595029551777,0.17945053989652024,0.15426468724483108,0.6585365853658537,0.07508908540347385,0.06175038981380816,1.0,0.2,845.0,286.3679999999998,0.00010851339553001168,7.1087352138307555e-06,1.0125905585265063,-0.2713455065576328,1,0.22919551595411508,none,1.0,0.22919551595411508,9986,background,57
MFAP5,-0.010255849815205605,0.010255849815205605,absolute_coefficient,0.03897666971014958,1.2387769035468368,1.117437820902493,0.6504065040650406,0.1135119704303615,0.02998869192132508,1.0,0.2,533.0,143.864,5.038672156392834e-05,0.0,-0.1877860443876271,-0.3062588309562265,1,0.2496767704974,none,1.0,0.2496767704974,8765,background,58
MESP1,0.010253901226775781,0.010253901226775781,absolute_coefficient,1.781917947990309,21.185342032864977,19.736609954857702,0.6666666666666666,0.551773538345116,0.012694652299281151,0.2,1.0,249.0,64.865,1.936870991065444e-05,0.0,-0.9674893243976698,2.485377915337759,3,0.3861548090793424,none,1.0,0.3861548090793424,2123,background,59
CHAD,0.01021903579268419,0.01021903579268419,absolute_coefficient,1.3112309028906346,2.1897141286581427,2.002086244073712,0.6531165311653117,0.396217911718363,0.028869568276629013,0.2,0.65,737.0,183.427,2.6288715077008284e-05,0.0,-0.4375696288448643,0.11645374607374216,2,0.2965905636184741,none,1.0,0.2965905636184741,5916,background,60
RBP2,-0.010194641466906082,0.010194641466906082,absolute_coefficient,2.044354212464977,14.287123973280433,13.316236371611918,0.5745257452574526,0.5116984886997779,0.015371474506927347,0.2,1.0,301.0,78.47100000000003,2.3488231177039008e-05,0.0,-0.9128338874744372,2.060869987006478,3,0.35889313510026777,none,1.0,0.35889313510026777,2964,background,61
SEMA3E,-0.010187063535953032,0.010187063535953032,absolute_coefficient,0.7279929773451835,6.3904397852667225,5.9536304053021105,0.6138211382113821,0.3527742499958921,0.02198904502336851,1.0,0.2,458.0,110.04800000000002,3.453428105707177e-05,9.478313618441007e-06,-0.33863941952673404,0.8868455977894165,1,0.3862676398892147,none,1.0,0.3862676398892147,2117,background,62
PKDCC,-0.010130451660797906,0.010130451660797906,absolute_coefficient,1.0102639663600446,15.348867514473534,14.302969766869348,0.6666666666666666,0.4283089012842738,0.024538274710754253,0.2,0.65,833.0,171.97400000000002,1.4400127136054144e-05,0.0,-0.33968746718186466,1.1007239434572769,3,0.31526146936184996,none,1.0,0.31526146936184996,4803,background,63
IL1RL1,-0.010124256562085564,0.010124256562085564,absolute_coefficient,2.8707891377245875,7.2541443311115135,6.764930769108628,0.6409214092140921,0.6409214092140921,0.03487301740306636,0.6,1.0,781.0,207.51499999999993,3.870572197609912e-05,0.0,0.25546741915656285,2.483818263361795,3,0.5014525516335526,none,1.0,0.5014525516335526,413,exploratory,64
